statement,implicit_need
��. I wish I could just drop this charade of happiness. My feelings aren't even mine anymore. I worry about putting stress on my loved ones. I'm so tired of this constant front that I have to put up when all I want to do is just cry.,need to have honest emotional release
I feel so lonely. That's all I have to say today.,need to be heard
I feel so lonely. That's all I have to say today.,need for social connection
I feel so lonely. That's all I have to say today.,need for recognition
"Just need some support!. not feeling well at all. stuck in this place I want to be in, I get out of here because mandatory. I feel anxious and depressed, you know the drill. All asking is for a comment or maybe a hug. I need something to distract myself with, music help, really that bad.",need to not feel stuck
"Just need some support!. not feeling well at all. stuck in this place I want to be in, I get out of here because mandatory. I feel anxious and depressed, you know the drill. All asking is for a comment or maybe a hug. I need something to distract myself with, music help, really that bad.",need to have emotional support
"Just need some support!. not feeling well at all. stuck in this place I want to be in, I get out of here because mandatory. I feel anxious and depressed, you know the drill. All asking is for a comment or maybe a hug. I need something to distract myself with, music help, really that bad.",need for a distraction
depression. how do you deal with it,need to not feel overwhelmed
depression. how do you deal with it,need to talk about feelings
depression. how do you deal with it,need to find way out
Depression. Contemplating wether I should run away and never see my family again or commit suicide...,need to not feel trapped
Depression. Contemplating wether I should run away and never see my family again or commit suicide...,need to escape the pain
Depression. Contemplating wether I should run away and never see my family again or commit suicide...,need to talk about it
My birthday is in 15 days.. I have never felt so unexcited &amp; Apathetic about my birthday in my entire life. Happy early birthday to me..,need to not be excited
My birthday is in 15 days.. I have never felt so unexcited &amp; Apathetic about my birthday in my entire life. Happy early birthday to me..,need to be heard in the group
My birthday is in 15 days.. I have never felt so unexcited &amp; Apathetic about my birthday in my entire life. Happy early birthday to me..,need to maintain usual celebrations
Does anyone have an experience with Citalopram?. I have been put on it due to my depression getting worse. I was wondering if anyone has been put on it and what are your experiences with it? Do you find it's helped you?,need to get better at depression
Does anyone have an experience with Citalopram?. I have been put on it due to my depression getting worse. I was wondering if anyone has been put on it and what are your experiences with it? Do you find it's helped you?,need to share experience with medication
Does anyone have an experience with Citalopram?. I have been put on it due to my depression getting worse. I was wondering if anyone has been put on it and what are your experiences with it? Do you find it's helped you?,need for reassurance about effectiveness
"Does anyone feel like your problems are insignificant compared others, yet they still seem like a heavy burden?. For example, compared to the lives that some other people had to endure, my life isn't too hard. However, my problems still feel like weights on my mind.",need to not disappoint family
"Does anyone feel like your problems are insignificant compared others, yet they still seem like a heavy burden?. For example, compared to the lives that some other people had to endure, my life isn't too hard. However, my problems still feel like weights on my mind.",need for others' understanding
"Does anyone feel like your problems are insignificant compared others, yet they still seem like a heavy burden?. For example, compared to the lives that some other people had to endure, my life isn't too hard. However, my problems still feel like weights on my mind.",need to release emotional weight
"Has anyone else ever gone through hell, then met the person of their dreams, the person they're meant to spend the rest of their life with, and then you fuck it up forever because you felt it was too good to be true so you constantly started fights to make it feel like it wasn't a dream?. Fuck man, I hate myself so much now. I don't hate my heart. I hate my brain. I hate my consciousness. My subconscious fuckin warned me to wake the fuck up and stop ruining things. But I didn't listen.",need to hold onto something good
"Has anyone else ever gone through hell, then met the person of their dreams, the person they're meant to spend the rest of their life with, and then you fuck it up forever because you felt it was too good to be true so you constantly started fights to make it feel like it wasn't a dream?. Fuck man, I hate myself so much now. I don't hate my heart. I hate my brain. I hate my consciousness. My subconscious fuckin warned me to wake the fuck up and stop ruining things. But I didn't listen.",need to not be a disappointment
"Has anyone else ever gone through hell, then met the person of their dreams, the person they're meant to spend the rest of their life with, and then you fuck it up forever because you felt it was too good to be true so you constantly started fights to make it feel like it wasn't a dream?. Fuck man, I hate myself so much now. I don't hate my heart. I hate my brain. I hate my consciousness. My subconscious fuckin warned me to wake the fuck up and stop ruining things. But I didn't listen.",need to wake up and take control
"It's my birthday today, but I dread it every year. I feel like my friends are slowly forgetting about me or not caring anymore..",need to be remembered and celebrated
"It's my birthday today, but I dread it every year. I feel like my friends are slowly forgetting about me or not caring anymore..",need to feel heard and valued by friends
"It's my birthday today, but I dread it every year. I feel like my friends are slowly forgetting about me or not caring anymore..",need to avoid feeling left out
"Does anyone else hate socialization?. I don't enjoy social contact and try to avoid it when I can. I never enjoy hanging out with any of my friends. Does anyone else have this? Is it depression, bipolar, or social anxiety? Or could it be something else?",need to avoid certain social situations
"Does anyone else hate socialization?. I don't enjoy social contact and try to avoid it when I can. I never enjoy hanging out with any of my friends. Does anyone else have this? Is it depression, bipolar, or social anxiety? Or could it be something else?",need for validation of my feelings
"Does anyone else hate socialization?. I don't enjoy social contact and try to avoid it when I can. I never enjoy hanging out with any of my friends. Does anyone else have this? Is it depression, bipolar, or social anxiety? Or could it be something else?",need to understand the nature of these emotions
Do you ever just feel bad for yourself for no reason. My mood can go from okay to wow a worthless piece of shit that deserve love I see people who have their shit together but here I am 27 and working at a restaurant I wallow in my self pity and I seem to change that,need to not be perceived as worthless
Do you ever just feel bad for yourself for no reason. My mood can go from okay to wow a worthless piece of shit that deserve love I see people who have their shit together but here I am 27 and working at a restaurant I wallow in my self pity and I seem to change that,need for recognition or respect from others
Do you ever just feel bad for yourself for no reason. My mood can go from okay to wow a worthless piece of shit that deserve love I see people who have their shit together but here I am 27 and working at a restaurant I wallow in my self pity and I seem to change that,need to manage emotional well-being
I honestly need an answer.. What do you do when you're so down in the dumps and stuck in your own head with revolving negative thoughts over and over and over and over again? Literally 1 thing that has helped you in the past. Please.,need to find a way out of negative thoughts
I honestly need an answer.. What do you do when you're so down in the dumps and stuck in your own head with revolving negative thoughts over and over and over and over again? Literally 1 thing that has helped you in the past. Please.,need to feel heard and understood
I honestly need an answer.. What do you do when you're so down in the dumps and stuck in your own head with revolving negative thoughts over and over and over and over again? Literally 1 thing that has helped you in the past. Please.,need to release emotional pain
Bamboo. I bought a bamboo plant from my local chinese store a few years ago when I first started feeling depressed. To this day or is still alive. Just wanted to tell people that I feel proud I can keep something more alive than myself.,need to feel a sense of accomplishment
Bamboo. I bought a bamboo plant from my local chinese store a few years ago when I first started feeling depressed. To this day or is still alive. Just wanted to tell people that I feel proud I can keep something more alive than myself.,need to not let depression win
Bamboo. I bought a bamboo plant from my local chinese store a few years ago when I first started feeling depressed. To this day or is still alive. Just wanted to tell people that I feel proud I can keep something more alive than myself.,need to prove self-worth
"Does everyone think i hate them?. I recently was hanging out with this girl who said she thought I hated her last year, it hit me kinda hard, I'm extremely quiet and I just wish I could know everyone's opinion of me.",need to be understood by others
"Does everyone think i hate them?. I recently was hanging out with this girl who said she thought I hated her last year, it hit me kinda hard, I'm extremely quiet and I just wish I could know everyone's opinion of me.",need to not feel rejected
"Does everyone think i hate them?. I recently was hanging out with this girl who said she thought I hated her last year, it hit me kinda hard, I'm extremely quiet and I just wish I could know everyone's opinion of me.",need to know what others think
"I want a dog.... But I even really take care of myself, what makes me think I could take care of another being. probably end up somehow fucking it up and hating myself more",need to have a sense of responsibility towards the dog
"I want a dog.... But I even really take care of myself, what makes me think I could take care of another being. probably end up somehow fucking it up and hating myself more",need for self-care before caring for another being
"I want a dog.... But I even really take care of myself, what makes me think I could take care of another being. probably end up somehow fucking it up and hating myself more",need to avoid self-hate
Fuck fuck fuck.. Can't sleep.. Have a tremendous amount of restlessness in myself. Just need to fucking calm down,need to not feel like shit
Fuck fuck fuck.. Can't sleep.. Have a tremendous amount of restlessness in myself. Just need to fucking calm down,need to sleep
Fuck fuck fuck.. Can't sleep.. Have a tremendous amount of restlessness in myself. Just need to fucking calm down,need to calm down
"How can I accept my intrusive depressive thoughts?. Long story short: Was 335, Am 175. Aiming for 130/140ish. Body destroyed. I accept that. But the intrusive thoughts won't stop telling me I'm ugly and shit. Like I know man, leave me alone. See the problem is everybody got perfect skin in comparison to me. It uses that. I just want to accept that I'm ugly so it won't hurt when it says it, and then it won't say it. Any tips?",need to not be bothered with criticism
"How can I accept my intrusive depressive thoughts?. Long story short: Was 335, Am 175. Aiming for 130/140ish. Body destroyed. I accept that. But the intrusive thoughts won't stop telling me I'm ugly and shit. Like I know man, leave me alone. See the problem is everybody got perfect skin in comparison to me. It uses that. I just want to accept that I'm ugly so it won't hurt when it says it, and then it won't say it. Any tips?",need to feel okay with appearance
"How can I accept my intrusive depressive thoughts?. Long story short: Was 335, Am 175. Aiming for 130/140ish. Body destroyed. I accept that. But the intrusive thoughts won't stop telling me I'm ugly and shit. Like I know man, leave me alone. See the problem is everybody got perfect skin in comparison to me. It uses that. I just want to accept that I'm ugly so it won't hurt when it says it, and then it won't say it. Any tips?",need to accept intrusive thoughts
My head is exploding.. All of this.How do you cope with this life?,need to make sense of it all
My head is exploding.. All of this.How do you cope with this life?,need to be heard in a chaotic situation
My head is exploding.. All of this.How do you cope with this life?,need to not be overwhelmed
"I forgot what love is. It's been so long. Years. I thought this was supposed to be emptiness, but all I feel is pain. This is no life worth living. I'm so tired",need to not disappoint family
"I forgot what love is. It's been so long. Years. I thought this was supposed to be emptiness, but all I feel is pain. This is no life worth living. I'm so tired",need to be understood
"I forgot what love is. It's been so long. Years. I thought this was supposed to be emptiness, but all I feel is pain. This is no life worth living. I'm so tired",need to be heard
I think it's suicide for me tomorrow. No longer have the will to keep going.,need to get help
I think it's suicide for me tomorrow. No longer have the will to keep going.,need to release emotions
I think it's suicide for me tomorrow. No longer have the will to keep going.,need to not be alone
I just wish that I mattered.. I might as well just be gone,need to feel heard and valued by others
I just wish that I mattered.. I might as well just be gone,need for significance in my existence
I just wish that I mattered.. I might as well just be gone,need not to exist with a sense of purpose
Any skin pickers?. it's a terrible way I try to cope.,need to not feel ashamed of my skin picking habit
Any skin pickers?. it's a terrible way I try to cope.,need for creative expression
Any skin pickers?. it's a terrible way I try to cope.,need to not be judged
All i do is smoke weed and eat a lot. I feel trapped and lonely as FUCK!!,need to escape daily life
All i do is smoke weed and eat a lot. I feel trapped and lonely as FUCK!!,need to not be judged
All i do is smoke weed and eat a lot. I feel trapped and lonely as FUCK!!,need to have social validation
"Are there any good depression podcasts or online chats?. Went for a walk today and just kept walking for two hours. Would like to listen to something while I do it. Also looking for good rooms. 7 cups of tea type things, but they went member based and now its shit.",need to find free content
"Are there any good depression podcasts or online chats?. Went for a walk today and just kept walking for two hours. Would like to listen to something while I do it. Also looking for good rooms. 7 cups of tea type things, but they went member based and now its shit.",need to not disappoint family
"Are there any good depression podcasts or online chats?. Went for a walk today and just kept walking for two hours. Would like to listen to something while I do it. Also looking for good rooms. 7 cups of tea type things, but they went member based and now its shit.",need for good rooms
I just want to have a single person in this world who would care about me. I just want to feel loved.. Is it too much to ask for?,need to be cared about by someone
I just want to have a single person in this world who would care about me. I just want to feel loved.. Is it too much to ask for?,need to feel loved
I just want to have a single person in this world who would care about me. I just want to feel loved.. Is it too much to ask for?,need to not be too much
"I can't tell people because they'll blame it on my new medicine... Journal helps, but I can't stop thinking about stuff.. Also my uncle was recently diagnosed with cancer and I'm not sure how to react. My parents are acting like it's going to be fine, but they make it sound so serious when describing it and after my grandpa had cancer I'm scared.",need to not worry about family reaction
"I can't tell people because they'll blame it on my new medicine... Journal helps, but I can't stop thinking about stuff.. Also my uncle was recently diagnosed with cancer and I'm not sure how to react. My parents are acting like it's going to be fine, but they make it sound so serious when describing it and after my grandpa had cancer I'm scared.",need for reassurance about own health
"I can't tell people because they'll blame it on my new medicine... Journal helps, but I can't stop thinking about stuff.. Also my uncle was recently diagnosed with cancer and I'm not sure how to react. My parents are acting like it's going to be fine, but they make it sound so serious when describing it and after my grandpa had cancer I'm scared.",need to validate my own emotional response
What will happen if I tell my psychologist about self harm?. First off I'm not even sure what I'm doing classifies as self harm. But I'm scared to let her know about it when I see her tomorrow. What will happen?,need to hide vulnerability
What will happen if I tell my psychologist about self harm?. First off I'm not even sure what I'm doing classifies as self harm. But I'm scared to let her know about it when I see her tomorrow. What will happen?,need to be reassured of confidentiality
What will happen if I tell my psychologist about self harm?. First off I'm not even sure what I'm doing classifies as self harm. But I'm scared to let her know about it when I see her tomorrow. What will happen?,need to understand consequences
"After effects of depression meds. Hey everyone, I've been on meds (cymbalta) for about 6 months and my life has completely turned around since then. I broke up with my ex of 5 years and fell into deep depression where I was contemplating suicide. Went on the meds and my life has turned around completely. The only thing I would like to say is that I can't feel excited, or having feelings of love or connecting with someone. Could that be the meds also? Like I get they take away the lows but I'm wondering if they take away the highs also.",need to feel love and connection with someone
"After effects of depression meds. Hey everyone, I've been on meds (cymbalta) for about 6 months and my life has completely turned around since then. I broke up with my ex of 5 years and fell into deep depression where I was contemplating suicide. Went on the meds and my life has turned around completely. The only thing I would like to say is that I can't feel excited, or having feelings of love or connecting with someone. Could that be the meds also? Like I get they take away the lows but I'm wondering if they take away the highs also.",need to feel excited
"After effects of depression meds. Hey everyone, I've been on meds (cymbalta) for about 6 months and my life has completely turned around since then. I broke up with my ex of 5 years and fell into deep depression where I was contemplating suicide. Went on the meds and my life has turned around completely. The only thing I would like to say is that I can't feel excited, or having feelings of love or connecting with someone. Could that be the meds also? Like I get they take away the lows but I'm wondering if they take away the highs also.",need to get a clear answer about meds' effects
I just want to disappear. sick of everything. I hate life. I literally fuck everything up. I have anything worth living for. just done. so sad. Nothing matters anymore. Nothing makes me happy. just a failure. I just want to go away. done. Life for me.,need to be heard and understood
I just want to disappear. sick of everything. I hate life. I literally fuck everything up. I have anything worth living for. just done. so sad. Nothing matters anymore. Nothing makes me happy. just a failure. I just want to go away. done. Life for me.,need for self-preservation
I just want to disappear. sick of everything. I hate life. I literally fuck everything up. I have anything worth living for. just done. so sad. Nothing matters anymore. Nothing makes me happy. just a failure. I just want to go away. done. Life for me.,need for self-acceptance
Lack of sleep. Did the time change affect anyone else's depression negatively?,need to adjust work schedule
Lack of sleep. Did the time change affect anyone else's depression negatively?,need to discuss depression's impact
Lack of sleep. Did the time change affect anyone else's depression negatively?,need to be unaffected by time change
its quite an interesting feeling starving yourself for a day. i guess dinner tonight will taste even better :D,need to experience food craving
its quite an interesting feeling starving yourself for a day. i guess dinner tonight will taste even better :D,need to explore self-control
its quite an interesting feeling starving yourself for a day. i guess dinner tonight will taste even better :D,need to not overdo
My parents are getting a gun for home defense and I don't trust myself. I don't have the heart to tell them how I feel but I'm terrified of what I'll do to myself. Lol what the hell is wrong with me,need to not disappoint family
My parents are getting a gun for home defense and I don't trust myself. I don't have the heart to tell them how I feel but I'm terrified of what I'll do to myself. Lol what the hell is wrong with me,need to get parents to understand my concerns
My parents are getting a gun for home defense and I don't trust myself. I don't have the heart to tell them how I feel but I'm terrified of what I'll do to myself. Lol what the hell is wrong with me,need to find a way to cope with fear
"Living feels like hell. I want to die. I want to stop hurting. It hurts more that I go through with it. I have any reason to be sad, either.",need to not feel like hell
"Living feels like hell. I want to die. I want to stop hurting. It hurts more that I go through with it. I have any reason to be sad, either.",need to stop hurting
"Living feels like hell. I want to die. I want to stop hurting. It hurts more that I go through with it. I have any reason to be sad, either.",need to have a reason to be sad
I shouldn't be alone.. Starting to feel like it's inevitable. I don't trust myself to be alone. In Minneapolis.,need to not be alone
I shouldn't be alone.. Starting to feel like it's inevitable. I don't trust myself to be alone. In Minneapolis.,need to not disappoint family
"What's the point?. I need a reason to go through this struggle every day. Right now I feel like I'm doing it just because that's the done thing (living), not because I have an actual reason to. And that sucks. Takes all the meaningfulness out of joyful things. I've got a job got a house got a partner and friends. But what's it all for? Why is staying alive such a task? Why do I continue to do it?",need to feel like I'm doing something meaningful
"What's the point?. I need a reason to go through this struggle every day. Right now I feel like I'm doing it just because that's the done thing (living), not because I have an actual reason to. And that sucks. Takes all the meaningfulness out of joyful things. I've got a job got a house got a partner and friends. But what's it all for? Why is staying alive such a task? Why do I continue to do it?",need to not be stuck in routine
"What's the point?. I need a reason to go through this struggle every day. Right now I feel like I'm doing it just because that's the done thing (living), not because I have an actual reason to. And that sucks. Takes all the meaningfulness out of joyful things. I've got a job got a house got a partner and friends. But what's it all for? Why is staying alive such a task? Why do I continue to do it?",need to have a sense of purpose
If just one person would call me.... If just one person would call me I might feel a little bit better and change my mind,need to be heard
If just one person would call me.... If just one person would call me I might feel a little bit better and change my mind,need for validation
If just one person would call me.... If just one person would call me I might feel a little bit better and change my mind,need to avoid rejection
If I know I will be a virgin for the rest of my life and a cute girl will never love me what should I do?. I hope I get to leave this world very soon,need to not be rejected
If I know I will be a virgin for the rest of my life and a cute girl will never love me what should I do?. I hope I get to leave this world very soon,need to be loved
If I know I will be a virgin for the rest of my life and a cute girl will never love me what should I do?. I hope I get to leave this world very soon,need to escape
Fuck everything. Fuck me fuck life fuck the world fuck everything,need to release frustration
Fuck everything. Fuck me fuck life fuck the world fuck everything,need to express emotions
Fuck everything. Fuck me fuck life fuck the world fuck everything,need to rebel against authority
there's nothing wrong with being selfish when you are depressed. it really isn't. so fuck those people who call you selfish,need to vent anger
there's nothing wrong with being selfish when you are depressed. it really isn't. so fuck those people who call you selfish,need for validation of emotions
there's nothing wrong with being selfish when you are depressed. it really isn't. so fuck those people who call you selfish,need to judge others' selfishness
What the hell am I doing. I'm failing classes. I'm sabotaging relationships with people I care about. I have little to no motivation for social interaction. Literally what the fuck am I doing. I don't think I've reached a lower point than what I'm currently at.,need to not fail classes
What the hell am I doing. I'm failing classes. I'm sabotaging relationships with people I care about. I have little to no motivation for social interaction. Literally what the fuck am I doing. I don't think I've reached a lower point than what I'm currently at.,need to maintain relationships with people I care about
What the hell am I doing. I'm failing classes. I'm sabotaging relationships with people I care about. I have little to no motivation for social interaction. Literally what the fuck am I doing. I don't think I've reached a lower point than what I'm currently at.,need for social interaction
I've got a november birthday (today) at least I have Guns n Roses. Feels kinda nice listening to november rain when you're depressed on your birthday :),need to feel heard and understood
I've got a november birthday (today) at least I have Guns n Roses. Feels kinda nice listening to november rain when you're depressed on your birthday :),need for comfort in music
I've got a november birthday (today) at least I have Guns n Roses. Feels kinda nice listening to november rain when you're depressed on your birthday :),need to not be judged for feelings
"For every action there is an equal and opposite reaction: The more effort I put into finding the job I want, the body I want, the social life I want, the more hurdles and resistance I encounter, essentially countering all my actions + leaving me burned out with nothin to show for 10ish yrs of trying. You're walking out to the ocean but the waves keep pushing you back to shore. I just needed to express this somewhere.",need to not disappoint family
"For every action there is an equal and opposite reaction: The more effort I put into finding the job I want, the body I want, the social life I want, the more hurdles and resistance I encounter, essentially countering all my actions + leaving me burned out with nothin to show for 10ish yrs of trying. You're walking out to the ocean but the waves keep pushing you back to shore. I just needed to express this somewhere.",need to show progress after effort
"For every action there is an equal and opposite reaction: The more effort I put into finding the job I want, the body I want, the social life I want, the more hurdles and resistance I encounter, essentially countering all my actions + leaving me burned out with nothin to show for 10ish yrs of trying. You're walking out to the ocean but the waves keep pushing you back to shore. I just needed to express this somewhere.",need to overcome resistance
"Do you think some jobs are really meant for people with mental illnesses?. I mean to say that those jobs are only limited to people with depression, just that a good fit Edit: Jobs like being an artist, working in the film industry, therapists, nurses, etc.",need to recognize one's capabilities
"Do you think some jobs are really meant for people with mental illnesses?. I mean to say that those jobs are only limited to people with depression, just that a good fit Edit: Jobs like being an artist, working in the film industry, therapists, nurses, etc.",need to not be judged by others
"Do you think some jobs are really meant for people with mental illnesses?. I mean to say that those jobs are only limited to people with depression, just that a good fit Edit: Jobs like being an artist, working in the film industry, therapists, nurses, etc.",need to have a sense of belonging
My therapist: don’t drink or do drugs Me the next week: so I drank and got high. Love a daily dose of self-sabotage,need to hide from therapist's advice
My therapist: don’t drink or do drugs Me the next week: so I drank and got high. Love a daily dose of self-sabotage,need to not disappoint the therapist
My therapist: don’t drink or do drugs Me the next week: so I drank and got high. Love a daily dose of self-sabotage,need to maintain sense of self-damage
"Why some people actually commit suicide while others spend all their lives only thinking about it?. Maybe it's not true, but i'm trying to understand.",need to find answers
"Why some people actually commit suicide while others spend all their lives only thinking about it?. Maybe it's not true, but i'm trying to understand.",need to be understood
"Why some people actually commit suicide while others spend all their lives only thinking about it?. Maybe it's not true, but i'm trying to understand.",need to know the truth
No one cares for me. I hate myself more than anyone I've ever met.,need to be loved and appreciated by others
No one cares for me. I hate myself more than anyone I've ever met.,need to not feel self-hatred
Do you feel awkward when you have hang out alone?. Do people throw shade at you?,need to not judge others' choices
Do you feel awkward when you have hang out alone?. Do people throw shade at you?,need to receive approval and acceptance from others
Do you feel awkward when you have hang out alone?. Do people throw shade at you?,need to avoid judgment
"I keep myself so busy and try so hard to make other people happy.. Because I know that the second I stop for too long my brain will realise that I'm not really happy. I'm exhausted all the time, but I can never stop because I'll never be able to start moving again.",need to not be seen as selfish
"I keep myself so busy and try so hard to make other people happy.. Because I know that the second I stop for too long my brain will realise that I'm not really happy. I'm exhausted all the time, but I can never stop because I'll never be able to start moving again.",need for others to appreciate effort
"I keep myself so busy and try so hard to make other people happy.. Because I know that the second I stop for too long my brain will realise that I'm not really happy. I'm exhausted all the time, but I can never stop because I'll never be able to start moving again.",need to have energy
"DAE Doubt their depression?. Sometimes after i go to tumblr and see all these things about people with depression and how they get out of their bed sometimes, and they cry themselves to sleep, it makes me feel like my depression bad enough. I know why.",need to not feel ashamed of depression
"DAE Doubt their depression?. Sometimes after i go to tumblr and see all these things about people with depression and how they get out of their bed sometimes, and they cry themselves to sleep, it makes me feel like my depression bad enough. I know why.",need for reassurance about own depression
"DAE Doubt their depression?. Sometimes after i go to tumblr and see all these things about people with depression and how they get out of their bed sometimes, and they cry themselves to sleep, it makes me feel like my depression bad enough. I know why.",need to be understood
"Anyone else written a bucket list?. I've written mine, not a lot on it but might as well try to do some of it. When I finish that I can kill myself and be free. That'd be nice. Or I might just give up on this too. Idk... I wish things were different",need to not feel stuck
"Anyone else written a bucket list?. I've written mine, not a lot on it but might as well try to do some of it. When I finish that I can kill myself and be free. That'd be nice. Or I might just give up on this too. Idk... I wish things were different",need to find purpose
"Anyone else written a bucket list?. I've written mine, not a lot on it but might as well try to do some of it. When I finish that I can kill myself and be free. That'd be nice. Or I might just give up on this too. Idk... I wish things were different",need to know what's next
I hate this world and I hate work and I’m unable to sustain myself. I’m awkward boring and weird so everyone treats me like shit and I tried to fix this for 18 years but no result it’s staying. And I’m really tempted about this killing yourself thing. Any alternatives?. Just asking before doing it.,need to be seen and heard
I hate this world and I hate work and I’m unable to sustain myself. I’m awkward boring and weird so everyone treats me like shit and I tried to fix this for 18 years but no result it’s staying. And I’m really tempted about this killing yourself thing. Any alternatives?. Just asking before doing it.,need for self-acceptance
I hate this world and I hate work and I’m unable to sustain myself. I’m awkward boring and weird so everyone treats me like shit and I tried to fix this for 18 years but no result it’s staying. And I’m really tempted about this killing yourself thing. Any alternatives?. Just asking before doing it.,need to escape the situation
i keep pushing people away. how do i stop how do i bottle up my emotions so only my therapist can know things i dont want anyone else to know how i feel anymore how do i stop,need to be heard and understood
i keep pushing people away. how do i stop how do i bottle up my emotions so only my therapist can know things i dont want anyone else to know how i feel anymore how do i stop,need for confidentiality
i keep pushing people away. how do i stop how do i bottle up my emotions so only my therapist can know things i dont want anyone else to know how i feel anymore how do i stop,need not to disappoint family
"i dont know what to do. So, im about to kill myself but im really afraid about how my boyfriend will react to it. I dont want to make him upset but this is my only option right now, we are both 16 if that changes anything.",need to not upset my boyfriend
"i dont know what to do. So, im about to kill myself but im really afraid about how my boyfriend will react to it. I dont want to make him upset but this is my only option right now, we are both 16 if that changes anything.",need to get out of current situation
"i dont know what to do. So, im about to kill myself but im really afraid about how my boyfriend will react to it. I dont want to make him upset but this is my only option right now, we are both 16 if that changes anything.",need to be heard and understood
I'd like to return or possibly exchange the gift of life. I think mine might be defective.,need to have a genuine option considered
I'd like to return or possibly exchange the gift of life. I think mine might be defective.,need for defect inspection
I'd like to return or possibly exchange the gift of life. I think mine might be defective.,need to not feel stuck with a bad gift
Life is way to long.. I wish it would end already.,need to be free from constraints
Life is way to long.. I wish it would end already.,need for a sense of urgency
Life is way to long.. I wish it would end already.,need for closure
"I'm tired. That's how I feel, not just physically but mentally too. Like the dim screen on a phone with no battery left. I just want to rest, but lately that makes it worse. Why does this feel so bad?",need to not disappoint family
"I'm tired. That's how I feel, not just physically but mentally too. Like the dim screen on a phone with no battery left. I just want to rest, but lately that makes it worse. Why does this feel so bad?",need for more restful rest
"I'm tired. That's how I feel, not just physically but mentally too. Like the dim screen on a phone with no battery left. I just want to rest, but lately that makes it worse. Why does this feel so bad?",need for a better pace
Im stuck. Anyone else like this?. I am very anti social not any friends and am bad at many things ruining things as I touch them. I dont even wanna try because Ill know ill fuck it up. Why do I even bother,need to be good at things
Im stuck. Anyone else like this?. I am very anti social not any friends and am bad at many things ruining things as I touch them. I dont even wanna try because Ill know ill fuck it up. Why do I even bother,need for social approval
Im stuck. Anyone else like this?. I am very anti social not any friends and am bad at many things ruining things as I touch them. I dont even wanna try because Ill know ill fuck it up. Why do I even bother,need to avoid failure
is it OK to be average?. I hate being average at everything it fuels my depression!,need to excel
is it OK to be average?. I hate being average at everything it fuels my depression!,need to avoid failure
is it OK to be average?. I hate being average at everything it fuels my depression!,need to not feel depressed
Very seriously considering ending it.. I'm at a crossroads and everything feels jumbled. I can't decide by the desire is over taking me.,need to be honest with self
Very seriously considering ending it.. I'm at a crossroads and everything feels jumbled. I can't decide by the desire is over taking me.,need for a clear path ahead
Very seriously considering ending it.. I'm at a crossroads and everything feels jumbled. I can't decide by the desire is over taking me.,need for reassurance
It'll get better!. Said countless times when it only seems to get worse.,need to be convinced of improvement
It'll get better!. Said countless times when it only seems to get worse.,need to see progress
It'll get better!. Said countless times when it only seems to get worse.,need to not feel despair
Suicide is the only way to end everything. I want to help myself anymore,need to not disappoint family
Suicide is the only way to end everything. I want to help myself anymore,need to be left alone
Suicide is the only way to end everything. I want to help myself anymore,need to feel in control
Nothing bad has ever happened to me. So why do I feel so depressed,need to not be judged by others
Nothing bad has ever happened to me. So why do I feel so depressed,need for emotional validation
Nothing bad has ever happened to me. So why do I feel so depressed,need to release pent-up emotions
"Anyone else with high functioning depression only truly vibe well with other people with unspoken high functioning depression?. Like having to put on a happy face and be happy but secretly being dead inside, my bestest of friends have always been the people who are concerned with their career and looking taken care of and happy but also internally unhappy",need to feel seen in a group
"Anyone else with high functioning depression only truly vibe well with other people with unspoken high functioning depression?. Like having to put on a happy face and be happy but secretly being dead inside, my bestest of friends have always been the people who are concerned with their career and looking taken care of and happy but also internally unhappy",need for internal validation
"Anyone else with high functioning depression only truly vibe well with other people with unspoken high functioning depression?. Like having to put on a happy face and be happy but secretly being dead inside, my bestest of friends have always been the people who are concerned with their career and looking taken care of and happy but also internally unhappy",need to not be judged based on appearance
anyone here a shut in ? (stays home 80%+ time). anyone here a shut in ? (stays home 80%+ time),need to stay at home
anyone here a shut in ? (stays home 80%+ time). anyone here a shut in ? (stays home 80%+ time),need to be understood as one who stays at home
anyone here a shut in ? (stays home 80%+ time). anyone here a shut in ? (stays home 80%+ time),need to not be judged
Everyday is a success.. I successfully manage to not kill myself.,need to feel proud of accomplishments
Everyday is a success.. I successfully manage to not kill myself.,need to acknowledge own resiliance
Everyday is a success.. I successfully manage to not kill myself.,need to not dwell on past
"Have you ever been paranoid of the thought that your girlfriend/wife is cheating on you?. Sorry for any typos, my english is kinda crappy",need to be reassured about relationship
"Have you ever been paranoid of the thought that your girlfriend/wife is cheating on you?. Sorry for any typos, my english is kinda crappy",need to feel heard and validated
"Have you ever been paranoid of the thought that your girlfriend/wife is cheating on you?. Sorry for any typos, my english is kinda crappy",need to not worry about partner's loyalty
What do you say when people ask you how you're feeling/doing?. When people know you have depression and ask how you're doing what do you usually answer? Do you keep it vague? Do you answer honestly and say you're suicidal (if you are)??,need to be honest about feelings
What do you say when people ask you how you're feeling/doing?. When people know you have depression and ask how you're doing what do you usually answer? Do you keep it vague? Do you answer honestly and say you're suicidal (if you are)??,need to avoid judgment
What do you say when people ask you how you're feeling/doing?. When people know you have depression and ask how you're doing what do you usually answer? Do you keep it vague? Do you answer honestly and say you're suicidal (if you are)??,need to not feel ashamed
